time,FX.FLOWS.DEVELOPED.FXF_G10.FXF_ALL.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.FXF_ALL.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.FXF_ALL.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.FXF_ALL.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.USD.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.USD.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.USD.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.USD.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.EUR.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.EUR.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.EUR.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.EUR.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.AUD.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.AUD.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.AUD.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.AUD.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CAD.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CAD.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CAD.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CAD.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CHF.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CHF.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CHF.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CHF.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.GBP.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.GBP.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.GBP.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.GBP.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.JPY.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.JPY.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.JPY.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.JPY.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NOK.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NOK.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NOK.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NOK.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NZD.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NZD.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NZD.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NZD.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.SEK.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.SEK.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.SEK.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.SEK.FXF_RM.NET_INDEX
2011-12-29,4.0114,-13.4395,7.18131,2.08225,1.27551,-0.951057,0.386642,0.46796,0.480455,2.10335,0.276194,0.437941,3.03981,-0.01384,0.370814,-0.137042,0.116015,-4.9178,4.1786,-0.856752,-2.37492,-0.97824,0.434838,2.15207,1.42373,-0.715066,0.479756,-0.606354,0.5011,0.299919,1.48242,-2.51046,-0.387383,-2.07538,-5.80622,3.0002,3.22021,-1.66209,2.09798,-4.26243,-3.28312,-4.52925,3.28028,4.39713
2011-12-30,-9.63048,-1.60839,-1.54726,7.02368,-0.091373,0.001093,0.311622,0.237859,2.35608,0.395403,-1.14206,-0.583055,-0.69647,-0.24586,-1.09967,1.59767,0.637058,-4.9178,0.287453,2.08196,0.85769,-1.73697,1.58007,0.878321,-2.27443,-0.140442,-3.74845,-1.4027,-4.5585,2.41,-0.375978,1.69291,-0.656084,-2.81144,-2.60371,1.48172,-2.53792,-1.89607,-0.429881,0.931405,-2.66652,7.33369,5.67336,0.107597
2012-01-02,-3.2676,0.661653,-2.48297,-1.92329,0.178226,0.171031,0.151444,0.292444,0.259663,-0.127389,0.077443,-0.492814,0.149954,-0.171901,-0.396719,0.049724,-0.515069,0.191705,-0.27755,-0.740841,-0.363804,0.985084,-2.07143,-0.105541,-0.120146,0.369275,-0.203165,-0.114156,0.237526,-0.643839,-0.093712,-0.377477,-0.161564,-0.174932,-0.220005,1.12748,-0.320721,0.240617,-0.528661,-0.048416,-2.61167,-0.177998,1.07938,-1.5137
2012-01-03,-11.7668,-14.5587,7.54164,32.3374,1.14513,0.591867,-0.982766,-1.2962,0.514437,0.658748,1.46365,0.120951,-2.86256,-0.463289,1.60885,-0.36568,-4.26019,-0.401627,3.73148,5.22523,4.27886,-2.57416,-5.50181,5.93179,-0.545124,0.04972,2.03464,-2.61721,-1.49967,-0.214845,-0.515939,0.151644,-2.28329,-4.47343,3.12022,1.88709,-4.43157,-0.398002,0.473247,9.53288,-1.8228,-7.33369,2.11007,13.7669
2012-01-04,-1.69791,-4.84475,14.3371,-1.18078,0.328184,-0.009613,-0.026878,-0.807551,0.989907,0.329652,-1.48182,1.14411,-3.40287,-1.59465,2.3897,-1.42194,3.12363,-2.95135,1.46653,-0.368393,0.376935,1.68635,-2.90115,-2.22327,0.900576,-0.351227,-0.622518,1.21262,-2.30915,0.734268,1.34141,-2.4074,-1.73411,-0.888374,7.05988,-2.87689,6.80894,-1.89607,-1.69754,0.298364,-6.77993,0.096257,8.80947,6.26957
2012-01-05,7.69765,-6.34976,5.74021,-4.3679,-1.99252,0.33615,0.528839,0.704061,1.45551,0.910477,-1.32362,-2.4635,2.64946,1.27542,-0.655323,3.31596,-1.85342,-0.764099,2.90588,5.17118,4.27886,0.378877,-4.32654,1.10143,3.25915,-3.42989,0.945456,1.36575,2.33528,-0.720384,0.793547,-1.43278,1.54248,-0.995379,-7.05988,-0.630346,-2.23063,1.05503,7.29567,-3.84783,-1.7465,-4.39596,6.63619,-7.65182
2012-01-06,2.53333,-1.96882,-7.76394,-9.41272,0.295442,-0.148851,0.066368,-0.780134,0.185075,-0.194026,-0.182024,0.16535,0.854906,-0.512159,0.513431,4.51634,0.688798,-2.92698,-4.00679,1.07293,-0.047439,2.39096,0.751162,-8.56927,-0.00847,0.30648,-2.62553,6.58748,-1.96102,1.0439,1.46811,-2.64196,0.291669,0.140846,-0.236847,-4.89307,2.9606,-1.89607,-1.80741,-5.80443,-0.726237,-0.17291,-1.70441,0.934048
2012-01-09,-8.21908,-12.0798,-2.84327,10.1911,-0.566949,1.08682,-1.76249,-1.00208,2.82696,-0.514765,3.23897,2.89351,0.814717,0.220803,-4.14588,1.90597,-3.4943,-0.806902,-2.09484,1.73166,-4.27886,0.83121,2.20556,-8.83044,3.31361,-0.814708,-0.883774,-0.534354,-0.375629,-0.310414,-0.671293,0.842752,-1.21662,-3.58244,-3.07268,8.58196,-3.40374,-0.855751,5.93169,-9.16483,-1.83828,-7.33369,-1.58853,13.7669
2012-01-10,3.46292,10.5184,-6.19511,11.1896,-0.114874,-0.583446,-0.49259,-2.48095,1.90717,1.24418,-0.365924,3.15953,-1.9392,-0.488655,4.14059,1.80196,-4.13195,-2.41959,2.60639,-0.057324,-0.026617,3.75388,-2.79015,3.00144,-1.01955,3.42989,1.65962,-2.05685,1.50289,0.548575,-0.988384,-0.156954,2.08892,-1.62167,-1.40273,8.58196,7.09158,1.89607,0.231586,-8.68556,-1.89543,4.7592,-8.79351,8.08237
2012-01-11,12.0011,-3.2234,12.3802,12.6802,-2.04444,0.685634,-1.52913,-1.07233,0.980958,0.461619,1.07966,-2.64774,3.18906,-0.378649,-0.681269,2.64831,4.67109,-4.9178,6.61077,-2.65268,-1.46515,1.45294,-1.012,8.83044,4.10122,0.252361,-1.59582,3.09698,-0.538518,0.964156,1.4452,0.591548,1.17436,-0.931277,-1.43318,1.70426,-3.26406,1.89607,8.62459,0.006141,5.19658,-2.70845,0.871379,2.17524
